Map,Query Number,Time,Distance,Path Length
oth999d,0,0.47500000,0.00000000,2
oth999d,1,0.15840000,0.00000000,2
oth999d,2,0.15840000,2.00000000,2
oth999d,3,0.16680000,3.00000000,2
oth999d,4,0.15820000,3.60555128,2
oth999d,5,0.14140000,3.00000000,2
oth999d,6,0.13340000,1.00000000,2
oth999d,7,0.11680000,1.00000000,2
oth999d,8,0.15840000,3.16227766,2
oth999d,9,0.13340000,3.00000000,2
oth999d,10,0.18340000,5.00000000,2
oth999d,11,0.15840000,6.00000000,2
oth999d,12,0.15840000,5.38516481,2
oth999d,13,0.15000000,5.83095189,2
oth999d,14,0.14980000,4.00000000,2
oth999d,15,0.12500000,4.47213595,2
oth999d,16,0.12500000,5.00000000,2
oth999d,17,0.15860000,6.32455532,2
oth999d,18,0.16640000,4.12310563,2
oth999d,19,0.13340000,5.83095189,2
oth999d,20,0.17540000,10.77032961,2
oth999d,21,0.19160000,8.00000000,2
oth999d,22,0.17480000,10.63014581,2
oth999d,23,0.18320000,9.05538514,2
oth999d,24,0.15840000,10.04987562,2
oth999d,25,0.17520000,10.44030651,2
oth999d,26,0.15820000,10.04987562,2
oth999d,27,0.14180000,10.19803903,2
oth999d,28,0.17520000,8.94427191,2
oth999d,29,0.15840000,9.43398113,2
oth999d,30,0.20000000,11.70469991,2
oth999d,31,0.14980000,11.66190379,2
oth999d,32,0.17500000,15.03329638,2
oth999d,33,0.15820000,14.86606875,2
oth999d,34,0.13340000,12.20655562,2
oth999d,35,0.12500000,13.60147051,2
oth999d,36,0.14180000,15.03329638,2
oth999d,37,0.14160000,13.34166406,2
oth999d,38,0.16660000,14.21267040,2
oth999d,39,0.17520000,13.60147051,2
oth999d,40,0.16660000,17.00000000,2
oth999d,41,0.20000000,16.27882060,2
oth999d,42,0.20000000,18.60107524,2
oth999d,43,0.19160000,17.02938637,2
oth999d,44,0.19160000,19.79898987,2
oth999d,45,0.15820000,18.38477631,2
oth999d,46,0.14180000,17.00000000,2
oth999d,47,0.14980000,19.20937271,2
oth999d,48,0.16680000,18.02775638,2
oth999d,49,0.15020000,15.52417470,2
oth999d,50,0.18340000,20.00000000,2
oth999d,51,0.17500000,20.80865205,2
oth999d,52,0.18320000,21.09502311,2
oth999d,53,0.20000000,22.20360331,2
oth999d,54,0.14180000,19.92485885,2
oth999d,55,0.14160000,23.08679276,2
oth999d,56,0.14980000,20.22374842,2
oth999d,57,0.15840000,20.39607805,2
oth999d,58,0.15840000,18.78829423,2
oth999d,59,0.74180000,21.02629759,3
oth999d,60,0.26680000,26.02498439,3
oth999d,61,0.13340000,25.07987241,2
oth999d,62,0.12500000,23.85372088,2
oth999d,63,0.12500000,25.00000000,2
oth999d,64,0.13320000,23.43074903,2
oth999d,65,0.15000000,22.84731932,2
oth999d,66,0.14980000,24.04163056,2
oth999d,67,0.12500000,25.29822128,2
oth999d,68,0.16660000,25.49509757,2
oth999d,69,0.15820000,24.83948470,2
oth999d,70,0.12500000,28.23118843,2
oth999d,71,0.12500000,30.41381265,2
oth999d,72,0.16680000,26.00000000,2
oth999d,73,0.16640000,31.00000000,2
oth999d,74,0.12500000,26.92582404,2
oth999d,75,0.14980000,30.61045573,2
oth999d,76,0.15000000,29.68164416,2
oth999d,77,0.15020000,27.16615541,2
oth999d,78,0.19140000,31.06444913,2
oth999d,79,0.13340000,29.12043956,2
oth999d,80,0.15000000,32.44996148,2
oth999d,81,0.15820000,34.20526275,2
oth999d,82,0.12500000,33.97057550,2
oth999d,83,0.12500000,30.80584360,2
oth999d,84,0.16660000,31.38470965,2
oth999d,85,0.15820000,30.08321791,2
oth999d,86,0.14160000,30.80584360,2
oth999d,87,0.14160000,31.57530681,2
oth999d,88,0.15820000,32.98484500,2
oth999d,89,0.11660000,33.01514804,2
oth999d,90,0.15020000,34.01470270,2
oth999d,91,0.14160000,34.40930107,2
oth999d,92,0.15820000,34.66987165,2
oth999d,93,0.12500000,35.22782991,2
oth999d,94,0.12500000,35.80502758,2
oth999d,95,0.15800000,33.61547263,2
oth999d,96,0.12500000,36.71511950,2
oth999d,97,0.12500000,37.21558813,2
oth999d,98,0.13320000,35.22782991,2
oth999d,99,0.14980000,37.20215048,2
oth999d,100,0.12500000,39.62322551,2
oth999d,101,0.12500000,41.01219331,2
oth999d,102,0.12500000,38.91015292,2
oth999d,103,0.13340000,39.20459157,2
oth999d,104,0.13340000,40.11234224,2
oth999d,105,0.16660000,40.24922359,2
oth999d,106,0.20000000,39.84971769,2
oth999d,107,0.15000000,40.31128874,2
oth999d,108,0.19160000,40.26164428,2
oth999d,109,0.17500000,40.04996879,2
oth999d,110,0.15820000,43.60045871,2
oth999d,111,0.15820000,46.75467891,2
oth999d,112,0.12500000,43.38202393,2
oth999d,113,0.12500000,44.28317965,2
oth999d,114,0.19160000,42.29657197,2
oth999d,115,0.16660000,42.57933771,2
oth999d,116,0.16680000,44.18144407,2
oth999d,117,0.17500000,44.40720662,2
oth999d,118,0.13340000,45.27692569,2
oth999d,119,0.15840000,42.80186912,2
oth999d,120,0.15840000,46.84015371,2
oth999d,121,0.12500000,46.38965402,2
oth999d,122,0.14160000,46.61544808,2
oth999d,123,0.14160000,47.41307836,2
oth999d,124,0.14180000,48.37354649,2
oth999d,125,0.20840000,48.09365863,2
oth999d,126,0.13340000,46.81879964,2
oth999d,127,0.16660000,48.05205511,2
oth999d,128,0.18320000,48.83646179,2
oth999d,129,0.17500000,46.09772229,2
oth999d,130,0.19180000,51.86520992,2
oth999d,131,0.12500000,48.70318265,2
oth999d,132,0.13340000,51.07837116,2
oth999d,133,0.19180000,48.10405388,2
oth999d,134,0.16660000,49.24428901,2
oth999d,135,0.19180000,49.33558553,2
oth999d,136,0.15820000,49.97999600,2
oth999d,137,0.12500000,50.00000000,2
oth999d,138,0.20840000,49.04079934,2
oth999d,139,0.16660000,49.33558553,2
oth999d,140,0.16660000,52.35456045,2
oth999d,141,0.15860000,52.39274759,2
oth999d,142,0.16660000,52.00000000,2
oth999d,143,0.16660000,52.39274759,2
oth999d,144,0.21660000,52.47856705,2
oth999d,145,0.17500000,53.23532662,2
oth999d,146,0.15000000,53.00000000,2
oth999d,147,0.15840000,53.00000000,2
oth999d,148,0.14180000,53.53503526,2
oth999d,149,0.17500000,54.08326913,2
