Map,Query Number,Time,Distance,Path Length
rmtst,0,9.61660000,1000000000000000000.00000000,2
rmtst,1,3.44180000,1000000000000000000.00000000,2
rmtst,2,0.31680000,2.82842712,2
rmtst,3,0.31700000,2.23606798,2
rmtst,4,0.51680000,2.23606798,2
rmtst,5,0.30800000,2.23606798,2
rmtst,6,0.29180000,1.00000000,2
rmtst,7,0.25000000,1.41421356,2
rmtst,8,0.24160000,1.00000000,2
rmtst,9,0.54140000,2.23606798,2
rmtst,10,2.06660000,6.23606798,3
rmtst,11,0.39180000,6.70820393,2
rmtst,12,0.92520000,5.16227766,3
rmtst,13,0.92500000,5.82842712,3
rmtst,14,1.23320000,7.23606798,3
rmtst,15,0.29980000,6.32455532,2
rmtst,16,0.44160000,6.40312424,2
rmtst,17,0.42500000,5.65685425,2
rmtst,18,0.25000000,7.00000000,2
rmtst,19,0.23320000,7.21110255,2
rmtst,20,1.05000000,9.47213595,4
rmtst,21,0.95000000,10.54400375,3
rmtst,22,0.26660000,10.04987562,2
rmtst,23,0.40000000,10.00000000,2
rmtst,24,0.36660000,10.77032961,2
rmtst,25,1.54180000,9.60555128,3
rmtst,26,0.46700000,9.43398113,2
rmtst,27,0.34200000,8.94427191,2
rmtst,28,0.26680000,7.61577311,2
rmtst,29,0.26660000,9.48683298,2
rmtst,30,1.48340000,11.99070478,4
rmtst,31,1.30840000,13.63782223,3
rmtst,32,1.07540000,13.90387700,4
rmtst,33,0.89200000,12.53915583,3
rmtst,34,1.25840000,12.72134935,4
rmtst,35,1.03300000,14.21954446,3
rmtst,36,0.93300000,11.45561243,3
rmtst,37,0.74180000,14.27766256,3
rmtst,38,0.48300000,14.14213562,2
rmtst,39,0.40820000,11.66190379,2
rmtst,40,1.13360000,16.18033989,4
rmtst,41,1.24180000,17.36931688,3
rmtst,42,1.45000000,18.47213595,5
rmtst,43,1.00840000,15.47213596,5
rmtst,44,0.97520000,16.51373054,4
rmtst,45,0.40820000,18.43908891,2
rmtst,46,0.85000000,15.70820393,4
rmtst,47,0.54180000,17.88854382,2
rmtst,48,1.10000000,17.60626150,4
rmtst,49,1.31660000,17.32455532,5
rmtst,50,1.31660000,20.12037174,4
rmtst,51,1.47520000,18.06449510,6
rmtst,52,1.07500000,20.84161926,5
rmtst,53,1.48340000,21.87758731,3
rmtst,54,1.03300000,19.33569078,3
rmtst,55,0.44980000,19.41648784,2
rmtst,56,0.97500000,18.88131749,4
rmtst,57,1.51640000,20.59362773,3
rmtst,58,0.93340000,20.02925523,4
rmtst,59,1.20000000,21.41056525,3
rmtst,60,1.21660000,24.04493295,4
rmtst,61,0.96660000,25.04231645,5
rmtst,62,1.58340000,25.88437187,6
rmtst,63,1.14160000,24.00093791,5
rmtst,64,1.02480000,24.07639765,3
rmtst,65,1.14180000,23.44030651,4
rmtst,66,0.44180000,22.82542442,2
rmtst,67,0.99180000,24.81816212,3
rmtst,68,1.00020000,25.82842712,4
rmtst,69,1.69200000,21.26454457,6
rmtst,70,1.26660000,28.70043308,6
rmtst,71,1.11660000,27.49285568,4
rmtst,72,1.29980000,27.44196994,5
rmtst,73,1.43340000,27.22742539,4
rmtst,74,1.28360000,28.23644383,5
rmtst,75,0.94160000,27.92140737,3
rmtst,76,1.50820000,30.09356026,4
rmtst,77,1.19980000,27.70729844,3
rmtst,78,1.03340000,28.90527279,3
rmtst,79,2.00840000,27.89949493,7
rmtst,80,1.30000000,34.05897592,3
rmtst,81,1.34980000,29.85691227,9
rmtst,82,1.01660000,31.57237704,8
rmtst,83,0.99180000,31.09298024,7
rmtst,84,0.81660000,31.28431796,6
rmtst,85,0.97500000,31.71949571,5
rmtst,86,1.00840000,31.55385285,7
rmtst,87,1.19160000,33.66222901,4
rmtst,88,1.90020000,33.44359993,4
rmtst,89,1.23360000,33.38263573,4
rmtst,90,0.91680000,36.91867240,4
rmtst,91,0.90820000,33.87307052,5
rmtst,92,0.99160000,34.29856608,6
rmtst,93,1.16660000,34.97997791,7
rmtst,94,1.00020000,35.98917437,4
rmtst,95,1.08340000,35.24735975,7
rmtst,96,1.07520000,38.26433752,7
rmtst,97,0.61640000,37.01351105,2
rmtst,98,1.10820000,37.95286151,3
rmtst,99,1.30860000,35.50896337,3
rmtst,100,1.03340000,39.72093786,8
rmtst,101,1.00800000,41.70043308,8
rmtst,102,0.90820000,38.44414682,5
rmtst,103,0.95820000,38.51665173,3
rmtst,104,0.96680000,39.65765096,8
rmtst,105,0.85840000,38.42619347,9
rmtst,106,1.01700000,37.61102362,7
rmtst,107,0.73360000,38.81262351,5
rmtst,108,0.69160000,38.81262351,5
rmtst,109,0.84160000,39.55265689,5
rmtst,110,1.11660000,44.94516295,7
rmtst,111,0.85020000,43.13008096,6
rmtst,112,0.89160000,43.84104434,8
rmtst,113,1.40840000,42.01786448,10
rmtst,114,0.91660000,41.07486116,8
rmtst,115,1.51640000,44.12085657,5
rmtst,116,1.37480000,42.21101786,8
rmtst,117,1.09140000,43.37382519,6
rmtst,118,0.99980000,44.66443075,6
rmtst,119,1.14960000,41.01088745,6
rmtst,120,0.91680000,45.79970732,5
rmtst,121,0.94180000,47.09731560,9
rmtst,122,1.15020000,45.50884229,8
rmtst,123,1.30840000,48.08791224,7
rmtst,124,1.34180000,48.55211931,3
rmtst,125,0.72540000,44.59820624,2
rmtst,126,1.26680000,46.88243965,3
rmtst,127,1.84160000,49.82842712,5
rmtst,128,1.35000000,45.52718411,6
rmtst,129,0.76660000,45.41204023,5
rmtst,130,0.96660000,48.68652473,5
rmtst,131,0.93300000,50.79554638,5
rmtst,132,1.01640000,47.89988765,6
rmtst,133,0.95820000,49.87840817,9
rmtst,134,0.83340000,49.26707788,8
rmtst,135,0.77520000,49.57756063,8
rmtst,136,0.85020000,50.14062633,8
rmtst,137,0.91660000,50.64570631,6
rmtst,138,1.12480000,50.26275117,7
rmtst,139,1.04160000,52.38383512,4
rmtst,140,1.79180000,56.26238513,6
rmtst,141,1.04200000,54.46074488,8
rmtst,142,1.03360000,55.23395962,4
rmtst,143,1.00020000,54.63987600,6
rmtst,144,1.25820000,55.92407448,4
rmtst,145,1.21680000,57.63867680,4
rmtst,146,1.20020000,55.54400375,3
rmtst,147,1.15840000,58.83906421,4
rmtst,148,1.39180000,56.99514229,4
rmtst,149,1.57500000,53.70318265,3
rmtst,150,0.89200000,59.49774770,6
rmtst,151,1.00000000,58.47052104,8
rmtst,152,1.28320000,58.25855343,6
rmtst,153,0.99180000,55.41345506,7
rmtst,154,1.03380000,58.36628352,5
rmtst,155,0.96680000,57.32224161,6
rmtst,156,1.02460000,61.18844226,6
rmtst,157,1.01640000,60.25510058,4
rmtst,158,1.15000000,58.47328633,4
rmtst,159,0.65020000,60.00833275,2
rmtst,160,0.94140000,63.28223298,4
rmtst,161,0.79980000,63.35019952,6
rmtst,162,0.89140000,64.36957258,5
rmtst,163,0.91660000,62.91460075,6
rmtst,164,0.91660000,64.39792142,7
rmtst,165,0.78320000,62.96898607,5
rmtst,166,1.21640000,62.69500979,3
rmtst,167,1.58340000,64.73702981,4
rmtst,168,1.28320000,66.20937271,4
rmtst,169,1.19120000,65.53473627,3
rmtst,170,1.05820000,66.64880529,5
rmtst,171,0.94120000,65.38483827,4
rmtst,172,1.01680000,67.67767820,5
rmtst,173,0.97520000,66.43464973,6
rmtst,174,0.90000000,65.84099770,5
rmtst,175,0.95840000,66.56371140,6
rmtst,176,0.91640000,67.60498338,4
rmtst,177,1.05820000,66.20712732,4
rmtst,178,1.30840000,69.26062769,3
rmtst,179,1.16680000,66.11788481,4
rmtst,180,1.00000000,71.97226813,7
rmtst,181,1.25820000,66.99979807,8
rmtst,182,0.90000000,70.18844226,8
rmtst,183,1.68340000,73.33036416,5
rmtst,184,0.87500000,71.52679201,8
rmtst,185,1.17480000,73.80586291,7
rmtst,186,1.12500000,73.31725505,4
rmtst,187,1.02480000,70.64338139,3
rmtst,188,1.11700000,70.81226259,3
rmtst,189,0.79180000,74.02702209,2
rmtst,190,1.01680000,73.53045067,7
rmtst,191,0.90860000,71.93220492,7
rmtst,192,0.80840000,76.61133317,7
rmtst,193,0.80840000,73.18239444,9
rmtst,194,0.98320000,77.10956931,8
rmtst,195,0.84160000,73.29057898,8
rmtst,196,0.90860000,73.52328371,8
rmtst,197,0.80820000,72.37746864,8
rmtst,198,0.96700000,75.67425456,5
rmtst,199,0.92500000,73.65912026,5
rmtst,200,0.89160000,77.27011247,6
rmtst,201,0.89160000,75.66319662,7
rmtst,202,0.95000000,77.36971885,8
rmtst,203,0.90020000,77.39040010,8
rmtst,204,0.93320000,74.56197298,7
rmtst,205,1.01660000,76.16311756,10
rmtst,206,0.87460000,76.83248491,7
rmtst,207,0.85820000,77.20901257,8
rmtst,208,0.95000000,76.21782863,8
rmtst,209,1.06660000,77.54600201,8
rmtst,210,0.82500000,81.41399520,6
rmtst,211,0.95860000,81.23922814,6
rmtst,212,0.96680000,78.34294382,8
rmtst,213,0.77500000,79.13004483,7
rmtst,214,0.93340000,79.50766284,6
