Map,Query Number,Time,Distance,Path Length
rmtst01,0,0.81660000,2.23606798,2
rmtst01,1,0.38340000,3.00000000,2
rmtst01,2,0.35020000,2.82842712,2
rmtst01,3,0.29160000,1.00000000,2
rmtst01,4,7.60820000,1000000000000000000.00000000,2
rmtst01,5,0.43320000,3.00000000,2
rmtst01,6,0.33320000,2.00000000,2
rmtst01,7,0.30000000,3.16227766,2
rmtst01,8,0.37500000,3.16227766,2
rmtst01,9,6.02500000,1000000000000000000.00000000,2
rmtst01,10,0.49180000,5.00000000,2
rmtst01,11,0.39180000,7.00000000,2
rmtst01,12,2.41680000,7.47213595,4
rmtst01,13,1.39180000,6.47870866,4
rmtst01,14,0.43320000,6.00000000,2
rmtst01,15,1.06660000,6.76782894,3
rmtst01,16,0.47480000,7.28010989,2
rmtst01,17,1.25000000,6.16227766,3
rmtst01,18,0.85840000,7.09901951,3
rmtst01,19,0.44160000,6.70820393,2
rmtst01,20,0.43340000,8.60232527,2
rmtst01,21,0.46660000,8.06225775,2
rmtst01,22,2.27460000,8.62123278,4
rmtst01,23,1.54160000,8.47213596,5
rmtst01,24,1.13320000,7.60555128,4
rmtst01,25,1.28340000,8.63919221,3
rmtst01,26,0.42500000,10.81665383,2
rmtst01,27,0.44180000,9.48683298,2
rmtst01,28,0.30040000,10.29563014,2
rmtst01,29,0.28340000,8.06225775,2
rmtst01,30,0.41660000,11.18033989,2
rmtst01,31,1.36680000,15.19803903,3
rmtst01,32,1.20860000,12.71834721,3
rmtst01,33,1.55860000,12.31012206,3
rmtst01,34,1.13300000,12.53915582,4
rmtst01,35,1.41660000,13.00000000,6
rmtst01,36,0.95840000,12.47870866,6
rmtst01,37,0.54980000,12.08304597,2
rmtst01,38,1.72500000,13.01613970,4
rmtst01,39,0.38340000,14.86606875,2
rmtst01,40,1.37480000,18.36058347,3
rmtst01,41,1.65000000,15.42357483,5
rmtst01,42,1.00840000,17.89450962,5
rmtst01,43,1.03340000,16.33549503,3
rmtst01,44,1.04160000,16.19503691,3
rmtst01,45,1.41660000,14.94173466,5
rmtst01,46,1.39160000,17.54320377,6
rmtst01,47,1.28300000,16.82842712,6
rmtst01,48,1.19160000,15.35839121,3
rmtst01,49,0.94980000,15.11081276,4
rmtst01,50,1.49980000,20.16316870,4
rmtst01,51,1.10840000,19.56550469,4
rmtst01,52,1.75000000,21.42950236,3
rmtst01,53,1.60000000,21.28080155,5
rmtst01,54,1.35860000,21.94427191,6
rmtst01,55,0.90860000,18.54221812,3
rmtst01,56,1.24160000,19.43397840,6
rmtst01,57,1.25000000,19.63867680,4
rmtst01,58,1.07480000,19.73006677,3
rmtst01,59,1.08320000,20.67637449,4
rmtst01,60,1.55000000,23.46516941,4
rmtst01,61,2.04180000,23.66763772,7
rmtst01,62,1.19160000,23.61507156,4
rmtst01,63,1.10840000,23.62721911,4
